title,view_count,likes,dislikes,comment_count
"Feelings | Ishare Tere Karti Nigah | Blind Love Story | New Haryanvi Song | By Unknown Boy Varun",2319361,55194,3946,2488
"50 Tolla (Full Video) | Mandeep Kahlon | Latest Punjabi Song 2020 | Humble Music |",1775507,57492,6631,3150
"BAARISH MAY LOCKDOWN | Warangal Diaries",362861,36264,836,1285
"Gajendra Verma | Tere Nashe Mein Choor | Teaser",684759,43648,452,931
"PATANGBAAZ - (15 August Special ) || Rachit Rojha",7745702,117979,26346,13320
"75 kg GIANT STINGRAY FISH COOKING | Stingray Fish Cutting and Cooking Skill | Thirukkai Kulambu",2083812,115980,4347,7638
"Veyil Official Trailer | Shane Nigam | Shine Tom Chacko | Sarath | Goodwill Entertainments",623869,38622,831,2026
"Extreme Prank For 24 Hours | Funny DIY Prank Challenge | Hungry Birds",1978045,61011,3646,9380
"Shakti | शक्ति | Ep. 1044 &1045 | Recap",445990,3759,372,64
"2 Bhai 1 Lugai || Bhai vs Bhai || Half Engineer",750360,50835,2837,3250
"DNA: नौकरियों के लिए अलग-अलग प्रवेश परीक्षाओं से छुटकारा | National Recruitment Agency | DNA Today",1186728,65263,2758,4958
"टार्ज़न कार और पुलिस कार की रेस || Tarzan The Wonder Car || Comedy Scenes",2129829,7120,2844,463
"UNSEEN Video : Niharika Konidela Pasupu Function || Chaitanya Jonnalagadda || Chai Biscuit",910405,5850,734,222
"Visiting India's Largest Poultry Farm",637100,55176,4260,3344
"DAD CAUGHT HIS GF IN HIS BEDROOM! - PITAI REVIEW #4 ft @Zakir Khan",1760064,197303,2463,4862
"Nand Episode 12 - Teaser - ARY Digital Drama",1213076,10174,579,352
"Weekly ReLIV - Taarak Mehta Ka Ooltah Chashmah - 10th To 14th August 2020 - Episodes 2967 To 2971",3997407,41921,4661,1446
"HOyeeee..Tera HAPPY Badday | Ss Vlogs :-)",762527,79004,678,8947
"Home Tour || Wirally Originals || Tamada Media",553612,21462,837,2050
"My 16th Birthday Vlog | Best Birthday Ever | SAMREEN ALI VLOGS",1258459,69372,7133,18402
"சளி, ஜுரம், தொண்டை வலி, ரொம்ப நாளா இருக்கா? அப்ப இத செய்யுங்க",86759,1158,91,50
"एक बार हरी मिर्च का अचार ऐसे जरूर बनाना सब्जी छोड़ अचार मै ही रम जाओगे-Hari Mirch Ka Achar-PickleReci",832264,11953,874,439
"PATI PATNI AUR PADOSI",851371,59704,1086,2637
"Texting in Relationships Ft. Be YouNick | MostlySane",496542,59315,1704,2465
"Sadak 2 | Official Trailer | Sanjay | Pooja | Alia | Aditya | Jisshu | Mahesh Bhatt | 28 Aug",66317218,680234,12338416,1079200
"Mahindra Thar 2020 - Most Detailed Video - Is it WOW?",1749806,52086,3506,3712
"2बार पी लो - हाथ-पैर, कमर दर्द, कमज़ोरी,थकान खून की कमी मोटापा चर्बी 90साल तक नहीं होने देगी ये चीज़",1304729,21559,2062,854
"HABITS (FULL OFFICIAL VIDEO) - AKAAL | NEHA MALIK | NEW PUNJABI SONG 2020 | MUSIC TYM PRODUCTIONS",3280708,80518,990,28221
"Bumrah Magic In Series Finale | FULL HIGHLIGHTS | BLACKCAPS v India - 5th T20, 2020",2634854,31974,2051,1060
